Day: 1.Jan.1650, FoolMoon: false, citizens: 49, action: Alissa Kuphal (Werewolf) go out from village
Day: 2.Jan.1650, FoolMoon: false, citizens: 48, action: Arline Feeney (Peasant) go out from village
Day: 3.Jan.1650, FoolMoon: false, citizens: 48, action: Normand Strosin (Werewolf) drink tea with Arlena Koepp (Werewolf)
Day: 4.Jan.1650, FoolMoon: false, citizens: 49, action: Riley Wuckert (Witch) come to village
Day: 5.Jan.1650, FoolMoon: false, citizens: 48, action: Julian Schoen (Vampire) go out from village
Day: 6.Jan.1650, FoolMoon: false, citizens: 48, action: Patrick Kohler (Peasant) drink tea with Shelby Miller (Witch)
Day: 7.Jan.1650, FoolMoon: false, citizens: 49, action: Silva Boehm (Witch) come to village
Day: 8.Jan.1650, FoolMoon: false, citizens: 49, action: Sleeping....
Day: 9.Jan.1650, FoolMoon: false, citizens: 49, action: Sleeping....
Day: 10.Jan.1650, FoolMoon: false, citizens: 49, action: Sleeping....
Day: 11.Jan.1650, FoolMoon: false, citizens: 49, action: Anthony Leuschke (Peasant) drink tea with Emerson McLaughlin (Vampire)
Day: 12.Jan.1650, FoolMoon: false, citizens: 49, action: Niki Witting (Witch) drink tea with Arlena Koepp (Werewolf)
Day: 13.Jan.1650, FoolMoon: false, citizens: 48, action: Emerson McLaughlin (Vampire) go out from village
Day: 14.Jan.1650, FoolMoon: false, citizens: 49, action: Emmie Moen (Witch) come to village
Day: 15.Jan.1650, FoolMoon: false, citizens: 50, action: Everett Armstrong (Vampire) come to village
Day: 16.Jan.1650, FoolMoon: false, citizens: 50, action: Sleeping....
Day: 17.Jan.1650, FoolMoon: false, citizens: 50, action: Jessie Herzog (Vampire) drink tea with Carol Pouros (Werewolf)
Day: 18.Jan.1650, FoolMoon: false, citizens: 50, action: Sleeping....
Day: 19.Jan.1650, FoolMoon: false, citizens: 50, action: Sleeping....
Day: 20.Jan.1650, FoolMoon: false, citizens: 49, action: Burl Berge (Witch) go out from village
Day: 21.Jan.1650, FoolMoon: false, citizens: 49, action: Riley Wuckert (Witch) drink tea with Niki Witting (Witch)
Day: 22.Jan.1650, FoolMoon: false, citizens: 49, action: Pedro Lowe (Witch) drink tea with Sharie Brakus (Peasant)
Day: 23.Jan.1650, FoolMoon: false, citizens: 48, action: Riley Wuckert (Witch) go out from village
Day: 24.Jan.1650, FoolMoon: false, citizens: 47, action: Jerome Mann (Vampire) go out from village
Day: 25.Jan.1650, FoolMoon: false, citizens: 46, action: Edgardo Marvin (Vampire) go out from village
Day: 26.Jan.1650, FoolMoon: false, citizens: 46, action: Sleeping....
Day: 27.Jan.1650, FoolMoon: false, citizens: 47, action: Ruby Osinski (Werewolf) come to village
Day: 28.Jan.1650, FoolMoon: false, citizens: 46, action: Samuel Conn (Vampire) go out from village
Day: 29.Jan.1650, FoolMoon: true, citizens: 46, action: Sleeping....
Day: 30.Jan.1650, FoolMoon: false, citizens: 46, action: Sleeping....
Day: 31.Jan.1650, FoolMoon: false, citizens: 45, action: Anthony Leuschke (Peasant) go out from village
Day: 1.Feb.1650, FoolMoon: false, citizens: 45, action: Conrad Glover (Werewolf) drink tea with Gena Hermann (Witch)
Day: 2.Feb.1650, FoolMoon: false, citizens: 44, action: Normand Strosin (Werewolf) go out from village
Day: 3.Feb.1650, FoolMoon: false, citizens: 45, action: Paul Bashirian (Vampire) come to village
Day: 4.Feb.1650, FoolMoon: false, citizens: 45, action: Sleeping....
Day: 5.Feb.1650, FoolMoon: false, citizens: 46, action: Wade Ebert (Peasant) come to village
Day: 6.Feb.1650, FoolMoon: false, citizens: 47, action: Reinaldo Kub (Werewolf) come to village
Day: 7.Feb.1650, FoolMoon: false, citizens: 46, action: Reinaldo Kub (Werewolf) go out from village
Day: 8.Feb.1650, FoolMoon: false, citizens: 47, action: Leigh Schinner (Peasant) come to village
Day: 9.Feb.1650, FoolMoon: false, citizens: 47, action: Sleeping....
Day: 10.Feb.1650, FoolMoon: false, citizens: 47, action: Sleeping....
Day: 11.Feb.1650, FoolMoon: false, citizens: 46, action: Rosaura Bernhard (Werewolf) go out from village
Day: 12.Feb.1650, FoolMoon: false, citizens: 47, action: Fletcher Crooks (Vampire) come to village
Day: 13.Feb.1650, FoolMoon: false, citizens: 46, action: Reggie Sawayn (Peasant) go out from village
Day: 14.Feb.1650, FoolMoon: false, citizens: 45, action: Leigh Schinner (Peasant) go out from village
Day: 15.Feb.1650, FoolMoon: false, citizens: 44, action: Elliot Schoen (Peasant) go out from village
Day: 16.Feb.1650, FoolMoon: false, citizens: 44, action: Sleeping....
Day: 17.Feb.1650, FoolMoon: false, citizens: 45, action: Lucy Wolff (Vampire) come to village
Day: 18.Feb.1650, FoolMoon: false, citizens: 46, action: Larissa Harvey (Werewolf) come to village
Day: 19.Feb.1650, FoolMoon: false, citizens: 47, action: Perry Murphy (Witch) come to village
Day: 20.Feb.1650, FoolMoon: false, citizens: 47, action: Ruby Osinski (Werewolf) drink tea with Arlena Koepp (Werewolf)
Day: 21.Feb.1650, FoolMoon: false, citizens: 46, action: Everett Armstrong (Vampire) go out from village
Day: 22.Feb.1650, FoolMoon: false, citizens: 46, action: Sleeping....
Day: 23.Feb.1650, FoolMoon: false, citizens: 45, action: Gena Hermann (Witch) go out from village
Day: 24.Feb.1650, FoolMoon: false, citizens: 45, action: Wade Ebert (Peasant) drink tea with Kimberlie McDermott (Witch)
Day: 25.Feb.1650, FoolMoon: false, citizens: 44, action: Sharie Brakus (Peasant) go out from village
Day: 26.Feb.1650, FoolMoon: true, citizens: 45, action: Melia Feest (Witch) come to village
Day: 27.Feb.1650, FoolMoon: false, citizens: 45, action: Sleeping....
Day: 28.Feb.1650, FoolMoon: false, citizens: 45, action: Cristen Doyle (Witch) drink tea with Otis Keeling (Werewolf)
Day: 1.Mar.1650, FoolMoon: false, citizens: 45, action: Melia Feest (Witch) drink tea with Josephine Thompson (Werewolf)
Day: 2.Mar.1650, FoolMoon: false, citizens: 45, action: Elanor Hartmann (Witch) drink tea with Melia Feest (Witch)
Day: 3.Mar.1650, FoolMoon: false, citizens: 45, action: Paul Bashirian (Vampire) drink tea with Hwa Gerhold (Vampire)
Day: 4.Mar.1650, FoolMoon: false, citizens: 45, action: Sleeping....
Day: 5.Mar.1650, FoolMoon: false, citizens: 45, action: Elanor Hartmann (Witch) drink tea with Ivan Gutkowski (Witch)
Day: 6.Mar.1650, FoolMoon: false, citizens: 46, action: Michaela Turner (Peasant) come to village
Day: 7.Mar.1650, FoolMoon: false, citizens: 46, action: Jeffery Lehner (Witch) drink tea with Jerrold Zieme (Peasant)
Day: 8.Mar.1650, FoolMoon: false, citizens: 47, action: Paris Denesik (Werewolf) come to village
Day: 9.Mar.1650, FoolMoon: false, citizens: 46, action: Patrick Kohler (Peasant) go out from village
Day: 10.Mar.1650, FoolMoon: false, citizens: 46, action: Sleeping....
Day: 11.Mar.1650, FoolMoon: false, citizens: 46, action: Thaddeus Paucek (Werewolf) drink tea with Jessie Herzog (Vampire)
Day: 12.Mar.1650, FoolMoon: false, citizens: 45, action: Fletcher Crooks (Vampire) go out from village
Day: 13.Mar.1650, FoolMoon: false, citizens: 44, action: Dixie Wilderman (Vampire) go out from village
Day: 14.Mar.1650, FoolMoon: false, citizens: 44, action: Jessie Herzog (Vampire) drink tea with Conrad Glover (Werewolf)
Day: 15.Mar.1650, FoolMoon: false, citizens: 45, action: Laree Lockman (Werewolf) come to village
Day: 16.Mar.1650, FoolMoon: false, citizens: 46, action: Donald Price (Vampire) come to village
Day: 17.Mar.1650, FoolMoon: false, citizens: 46, action: Sleeping....
Day: 18.Mar.1650, FoolMoon: false, citizens: 45, action: Paul Bashirian (Vampire) go out from village
Day: 19.Mar.1650, FoolMoon: false, citizens: 45, action: Sleeping....
Day: 20.Mar.1650, FoolMoon: false, citizens: 45, action: Elanor Hartmann (Witch) drink tea with Laree Lockman (Werewolf)
Day: 21.Mar.1650, FoolMoon: false, citizens: 44, action: Silva Boehm (Witch) go out from village
Day: 22.Mar.1650, FoolMoon: false, citizens: 44, action: Sleeping....
Day: 23.Mar.1650, FoolMoon: false, citizens: 43, action: Donald Price (Vampire) go out from village
Day: 24.Mar.1650, FoolMoon: false, citizens: 42, action: Jerrold Zieme (Peasant) go out from village
Day: 25.Mar.1650, FoolMoon: false, citizens: 41, action: Laree Lockman (Werewolf) go out from village
Day: 26.Mar.1650, FoolMoon: true, citizens: 40, action: MurderException Lucy Wolff (Vampire) has been killed by Josephine Thompson (Werewolf)
Day: 27.Mar.1650, FoolMoon: false, citizens: 40, action: Sleeping....
Day: 28.Mar.1650, FoolMoon: false, citizens: 39, action: Jeffery Lehner (Witch) go out from village
Day: 29.Mar.1650, FoolMoon: false, citizens: 40, action: Reynalda Bashirian (Peasant) come to village
Day: 30.Mar.1650, FoolMoon: false, citizens: 40, action: Sleeping....
Day: 31.Mar.1650, FoolMoon: false, citizens: 39, action: Arlena Koepp (Werewolf) go out from village
Day: 1.Apr.1650, FoolMoon: false, citizens: 40, action: Sheri Waters (Vampire) come to village
Day: 2.Apr.1650, FoolMoon: false, citizens: 40, action: Wade Ebert (Peasant) drink tea with Ji Wiza (Vampire)
Day: 3.Apr.1650, FoolMoon: false, citizens: 40, action: MurderException Ivan Gutkowski (Witch) turned into a vampire by Hwa Gerhold (Vampire)
Day: 4.Apr.1650, FoolMoon: false, citizens: 40, action: Sleeping....
Day: 5.Apr.1650, FoolMoon: false, citizens: 40, action: Sleeping....
Day: 6.Apr.1650, FoolMoon: false, citizens: 39, action: Jude Stroman (Witch) go out from village
Day: 7.Apr.1650, FoolMoon: false, citizens: 39, action: Sleeping....
Day: 8.Apr.1650, FoolMoon: false, citizens: 38, action: Perry Murphy (Witch) go out from village
Day: 9.Apr.1650, FoolMoon: false, citizens: 38, action: Sleeping....
Day: 10.Apr.1650, FoolMoon: false, citizens: 38, action: Sleeping....
Day: 11.Apr.1650, FoolMoon: false, citizens: 38, action: Sleeping....
Day: 12.Apr.1650, FoolMoon: false, citizens: 37, action: Larissa Harvey (Werewolf) go out from village
Day: 13.Apr.1650, FoolMoon: false, citizens: 37, action: Sleeping....
Day: 14.Apr.1650, FoolMoon: false, citizens: 38, action: Carey Bahringer (Werewolf) come to village
Day: 15.Apr.1650, FoolMoon: false, citizens: 38, action: Hwa Gerhold (Vampire) drink tea with Sheri Waters (Vampire)
Day: 16.Apr.1650, FoolMoon: false, citizens: 39, action: Jerri Shields (Peasant) come to village
Day: 17.Apr.1650, FoolMoon: false, citizens: 40, action: Marta Rath (Peasant) come to village
Day: 18.Apr.1650, FoolMoon: false, citizens: 39, action: Michaela Turner (Peasant) go out from village
Day: 19.Apr.1650, FoolMoon: false, citizens: 38, action: Paris Denesik (Werewolf) go out from village
Day: 20.Apr.1650, FoolMoon: false, citizens: 38, action: Sleeping....
Day: 21.Apr.1650, FoolMoon: false, citizens: 38, action: Meryl D'Amore (Peasant) drink tea with Carol Pouros (Werewolf)
Day: 22.Apr.1650, FoolMoon: false, citizens: 38, action: Eula Barrows (Peasant) drink tea with Carol Pouros (Werewolf)
Day: 23.Apr.1650, FoolMoon: true, citizens: 39, action: Gilberto Turcotte (Vampire) come to village
Day: 24.Apr.1650, FoolMoon: false, citizens: 39, action: Shelby Miller (Witch) drink tea with Galen Heathcote (Peasant)
Day: 25.Apr.1650, FoolMoon: false, citizens: 39, action: Sleeping....
Day: 26.Apr.1650, FoolMoon: false, citizens: 38, action: Jonell Little (Peasant) go out from village
Day: 27.Apr.1650, FoolMoon: false, citizens: 38, action: Sleeping....
Day: 28.Apr.1650, FoolMoon: false, citizens: 38, action: Sleeping....
Day: 29.Apr.1650, FoolMoon: false, citizens: 38, action: MurderException Jerri Shields (Peasant) turned into a vampire by Gilberto Turcotte (Vampire)
Day: 30.Apr.1650, FoolMoon: false, citizens: 37, action: Katharyn Abbott (Werewolf) go out from village
Day: 1.May.1650, FoolMoon: false, citizens: 37, action: Sleeping....
Day: 2.May.1650, FoolMoon: false, citizens: 37, action: MurderException Maryetta Lynch (Witch) turned into a vampire by Hwa Gerhold (Vampire)
Day: 3.May.1650, FoolMoon: false, citizens: 36, action: Cristen Doyle (Witch) go out from village
Day: 4.May.1650, FoolMoon: false, citizens: 35, action: Carol Pouros (Werewolf) go out from village
Day: 5.May.1650, FoolMoon: false, citizens: 34, action: Graham Parisian (Peasant) go out from village
Day: 6.May.1650, FoolMoon: false, citizens: 33, action: Eula Barrows (Peasant) go out from village
Day: 7.May.1650, FoolMoon: false, citizens: 33, action: Sleeping....
Day: 8.May.1650, FoolMoon: false, citizens: 34, action: Gil Becker (Peasant) come to village
Day: 9.May.1650, FoolMoon: false, citizens: 33, action: Maryetta Lynch (Vampire) go out from village
Day: 10.May.1650, FoolMoon: false, citizens: 34, action: Rolf Cole (Witch) come to village
Day: 11.May.1650, FoolMoon: false, citizens: 35, action: Julissa Kris (Werewolf) come to village
Day: 12.May.1650, FoolMoon: false, citizens: 35, action: Ji Wiza (Vampire) drink tea with Rosalyn Roberts (Vampire)
Day: 13.May.1650, FoolMoon: false, citizens: 35, action: Antonio Stanton (Witch) drink tea with Shelby Miller (Witch)
Day: 14.May.1650, FoolMoon: false, citizens: 34, action: Marta Rath (Peasant) go out from village
Day: 15.May.1650, FoolMoon: false, citizens: 35, action: Chas Kovacek (Werewolf) come to village
